primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,reliability_status,reliability_score,reliability_reason
HIGH_VOL,intelligence_score,HIGH,145,5,39,71.03448275862068,2.31118,2.3364,-11.438,12.5438,EARLY,49.62,"Minimum breadth is met (145 observations, 5 dates, 39 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,momentum_score,MEDIUM,128,5,48,78.125,2.6584953125,2.59785,-11.438,13.2915,EARLY,48.21,"Minimum breadth is met (128 observations, 5 dates, 48 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,liquidity_score,MEDIUM,102,18,8,56.86274509803921,0.2028852941176471,0.49925,-7.6532,5.0858,EARLY,46.87,"Minimum breadth is met (102 observations, 18 dates, 8 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,momentum_score,HIGH,51,16,29,37.25490196078432,-0.4247647058823529,-0.4224,-6.3705,12.6707,EARLY,46.05,"Minimum breadth is met (51 observations, 16 dates, 29 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_UP,momentum_score,VERY_HIGH,27,19,17,62.96296296296296,0.9409740740740742,1.5922,-7.3404,9.1931,INSUFFICIENT,43.59,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 27/19/17."
HIGH_VOL,intelligence_score,MEDIUM,100,5,33,78.0,2.245536,2.12365,-3.6728,13.2915,EARLY,43.52,"Minimum breadth is met (100 observations, 5 dates, 33 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,intelligence_score,HIGH,122,6,43,53.278688524590166,0.1591508196721311,0.2153999999999999,-7.5529,9.2944,EARLY,43.49,"Minimum breadth is met (122 observations, 6 dates, 43 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
LOW_VOL,momentum_score,LOW,44,14,28,40.909090909090914,-0.7026977272727273,-0.8389500000000001,-9.7743,7.5368,EARLY,41.65,"Minimum breadth is met (44 observations, 14 dates, 28 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,volatility_score,VERY_HIGH,94,5,20,68.08510638297872,1.83418085106383,1.66105,-11.438,12.5438,EARLY,40.53,"Minimum breadth is met (94 observations, 5 dates, 20 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,liquidity_score,HIGH,102,6,22,48.03921568627451,-0.2465950980392157,-0.1586,-7.2081,5.6309,EARLY,39.89,"Minimum breadth is met (102 observations, 6 dates, 22 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,momentum_score,HIGH,85,5,42,69.41176470588235,2.073738823529412,2.3364,-5.6835,11.47,EARLY,39.3,"Minimum breadth is met (85 observations, 5 dates, 42 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,trend_score,MEDIUM,84,6,42,54.761904761904766,0.1141904761904761,0.20715,-7.1436,7.2496,EARLY,37.45,"Minimum breadth is met (84 observations, 6 dates, 42 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,intelligence_score,LOW,27,17,6,51.85185185185185,0.0391740740740739,0.0794,-5.5597,7.9851,INSUFFICIENT,30.62,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 27/17/6."
FLAT,trend_score,HIGH,44,6,34,47.72727272727273,0.2820863636363636,-0.1381,-4.4847,7.6861,EARLY,30.29,"Minimum breadth is met (44 observations, 6 dates, 34 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
HIGH_VOL,liquidity_score,HIGH,57,5,12,73.68421052631578,2.721471929824561,2.4413,-4.3734,13.2915,EARLY,29.49,"Minimum breadth is met (57 observations, 5 dates, 12 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
TREND_DOWN,momentum_score,VERY_HIGH,15,11,11,46.66666666666666,-1.1128466666666668,-0.564,-12.0929,5.1918,INSUFFICIENT,25.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 15/11/11."
LOW_VOL,volatility_score,HIGH,18,7,12,38.88888888888889,0.4794666666666665,-0.65635,-5.1901,10.196,INSUFFICIENT,22.97,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 18/7/12."
HIGH_VOL,trend_score,HIGH,21,5,13,66.66666666666666,1.3509809523809522,1.7623,-3.6728,6.7092,INSUFFICIENT,22.83,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 21/5/13."
HIGH_VOL,momentum_score,VERY_HIGH,20,3,17,60.0,1.1116750000000004,1.2588,-2.5303,7.8237,INSUFFICIENT,21.83,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 20/3/17."
HIGH_VOL,trend_score,MEDIUM,24,5,9,70.83333333333334,1.4277666666666669,1.2701,-2.4227,5.9013,INSUFFICIENT,21.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 24/5/9."
TREND_DOWN,volatility_score,LOW,11,11,1,27.27272727272727,-1.3230363636363636,-1.4585,-4.2675,1.5779,INSUFFICIENT,20.88,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 11/11/1."
HIGH_VOL,momentum_score,LOW,12,3,10,83.33333333333334,1.7405000000000002,2.2322,-3.6728,5.5771,INSUFFICIENT,19.92,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 12/3/10."
FLAT,momentum_score,HIGH,17,5,12,41.17647058823529,-0.1796411764705882,-0.7583,-2.6282,4.4753,INSUFFICIENT,19.85,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 17/5/12."
HIGH_VOL,liquidity_score,MEDIUM,20,5,4,80.0,2.220995,2.62965,-2.666,4.9007,INSUFFICIENT,18.58,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 20/5/4."
FLAT,liquidity_score,MEDIUM,30,6,7,53.333333333333336,0.3713866666666667,0.3953,-4.5028,9.2145,EARLY,18.42,"Minimum breadth is met (30 observations, 6 dates, 7 symbols), but evidence has not reached the deterministic PROMISING/ROBUST thresholds."
FLAT,momentum_score,LOW,11,5,8,36.36363636363637,-1.7185727272727271,-2.2754,-7.1436,3.3968,INSUFFICIENT,16.81,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 11/5/8."
TREND_UP,volatility_score,MEDIUM,4,4,1,0.0,-4.83505,-4.6095,-8.8061,-1.3151,INSUFFICIENT,16.42,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 4/4/1."
HIGH_VOL,volatility_score,MEDIUM,5,5,1,80.0,2.43274,2.3116,-0.044,4.1032,INSUFFICIENT,13.83,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 5/5/1."
FLAT,intelligence_score,LOW,2,2,1,0.0,-5.1516,-5.1516,-7.1436,-3.1596,INSUFFICIENT,13.58,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 2/2/1."
FLAT,volatility_score,LOW,2,2,1,0.0,-5.1516,-5.1516,-7.1436,-3.1596,INSUFFICIENT,13.58,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 2/2/1."
FLAT,volatility_score,HIGH,10,4,9,50.0,-0.35875,-0.0693,-6.3075,4.8257,INSUFFICIENT,13.42,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 10/4/9."
CHOPPY,volatility_score,LOW,1,1,1,100.0,3.8459,3.8459,3.8459,3.8459,INSUFFICIENT,12.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 1/1/1."
LOW_VOL,momentum_score,VERY_HIGH,1,1,1,0.0,-4.5636,-4.5636,-4.5636,-4.5636,INSUFFICIENT,12.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 1/1/1."
LOW_VOL,volatility_score,LOW,1,1,1,0.0,-3.8142,-3.8142,-3.8142,-3.8142,INSUFFICIENT,12.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 1/1/1."
TREND_DOWN,volatility_score,MEDIUM,1,1,1,100.0,8.2004,8.2004,8.2004,8.2004,INSUFFICIENT,12.17,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 1/1/1."
TREND_UP,intelligence_score,LOW,4,4,1,25.0,-3.349075,-5.76735,-9.9033,8.0417,INSUFFICIENT,11.42,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 4/4/1."
TREND_UP,volatility_score,LOW,4,4,1,25.0,-3.349075,-5.76735,-9.9033,8.0417,INSUFFICIENT,11.42,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 4/4/1."
CHOPPY,momentum_score,VERY_HIGH,6,4,6,50.0,-0.0667333333333333,-0.1618,-3.0464,3.0868,INSUFFICIENT,10.5,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 6/4/6."
LOW_VOL,intelligence_score,LOW,2,2,1,50.0,-0.4959500000000001,-0.4959500000000001,-3.8142,2.8223,INSUFFICIENT,3.58,"Too little breadth: requires >= 30 observations, >= 5 scenario_dates, and >= 5 symbols; observed 2/2/1."
