"FullName","Length","LastWriteTime"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\__pycache__\stock_scoring_v2.cpython-312.pyc","3755","16-06-2026 21:20:12"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\__pycache__\trading_playbook.cpython-312.pyc","2434","06-06-2026 11:29:58"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\__pycache__\trend_intelligence.cpython-312.pyc","3273","16-06-2026 21:20:12"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\alpha_signal_test.py","1198","16-06-2026 22:26:04"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\alpha_signal_v1.py","2047","16-06-2026 22:39:02"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\alpha_signal_v2.py","2644","16-06-2026 23:34:12"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\alpha_signal_v3.py","2305","17-06-2026 15:13:16"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\capital_flow.py","2851","05-06-2026 14:01:18"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\factor_builder.py","2380","16-06-2026 21:56:47"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\fii_dii_tracker.py","1812","05-06-2026 20:57:44"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\global_markets.py","1903","05-06-2026 22:42:58"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\india_economy.py","1978","06-06-2026 11:23:45"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\macro_interpreter.py","1456","05-06-2026 21:42:17"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\market_brain.py","3383","06-06-2026 11:28:54"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\market_breadth.py","1244","04-06-2026 18:41:09"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\market_explainer.py","3214","06-06-2026 12:52:18"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\market_regime.py","2719","05-06-2026 20:50:54"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\market_summary.py","1931","04-06-2026 11:42:48"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\master_alpha_report_analytics.py","1119","16-06-2026 23:19:57"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\model_battle.py","4609","15-06-2026 17:59:13"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\model_research.py","1841","11-06-2026 19:08:53"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\morning_report.py","23","05-06-2026 20:44:33"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\performance_analytics.py","852","17-06-2026 15:13:21"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\performance_tracker.py","3526","06-06-2026 13:33:16"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\portfolio_builder.py","890","17-06-2026 15:23:32"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\portfolio_optimizer.py","453","17-06-2026 15:13:20"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\probability_calibrator.py","0","17-06-2026 15:24:01"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\probability_engine.py","1921","17-06-2026 00:19:42"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\ranking_engine_v2.py","858","17-06-2026 15:13:18"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\recommendation_history.py","0","17-06-2026 15:23:49"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\regime_detector.py","2693","17-06-2026 00:48:30"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\save_factor_history.py","2384","16-06-2026 21:07:39"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\sector_mapping.py","1561","16-06-2026 19:16:33"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\sector_strength.py","1504","05-06-2026 20:54:12"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\signal_accuracy.py","3445","11-06-2026 14:04:14"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\signal_accuracy_v2.py","4371","11-06-2026 14:27:19"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\signal_history_v2.py","1645","15-06-2026 23:10:15"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\stock_reason_engine.py","2263","06-06-2026 12:57:25"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\stock_scoring.py","4386","16-06-2026 21:07:36"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\stock_scoring_v2.py","3857","16-06-2026 21:07:44"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\teset.py","501","11-06-2026 13:11:45"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\test.py","110","15-06-2026 23:46:03"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\trade_tracker.py","948","17-06-2026 15:13:25"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\trading_playbook.py","2990","06-06-2026 11:25:53"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\trend_intelligence _backup.py","3099","16-06-2026 20:56:17"
"C:\Users\pavan\Documents\Python\Marketbot\analytics\trend_intelligence.py","3403","16-06-2026 21:07:48"
"C:\Users\pavan\Documents\Python\Marketbot\automation\__init__.py","0","16-06-2026 23:23:37"
"C:\Users\pavan\Documents\Python\Marketbot\automation\prediction_history.py","0","15-06-2026 22:35:09"
"C:\Users\pavan\Documents\Python\Marketbot\automation\run_daily_update.py","1776","15-06-2026 22:35:30"
"C:\Users\pavan\Documents\Python\Marketbot\automation\save_factor_history.py","0","15-06-2026 22:34:53"
"C:\Users\pavan\Documents\Python\Marketbot\config\__init__.py","0","16-06-2026 23:23:37"
"C:\Users\pavan\Documents\Python\Marketbot\config\__pycache__\__init__.cpython-312.pyc","157","17-06-2026 17:45:46"
"C:\Users\pavan\Documents\Python\Marketbot\config\__pycache__\upstox_config.cpython-312.pyc","636","18-06-2026 22:15:15"
"C:\Users\pavan\Documents\Python\Marketbot\config\upstox_config.py","451","18-06-2026 22:14:18"
"C:\Users\pavan\Documents\Python\Marketbot\create_database.py","1080","11-06-2026 19:25:26"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\__init__.txt","0","17-06-2026 13:49:59"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\__pycache__\performance_widget.cpython-312.pyc","1126","17-06-2026 14:51:28"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\__pycache__\recommendation_widget.cpython-312.pyc","762","17-06-2026 13:56:29"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\app.py","2738","17-06-2026 14:02:11"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\performance_widget.py","564","17-06-2026 14:50:55"
"C:\Users\pavan\Documents\Python\Marketbot\dashboard\recommendation_widget.py","321","17-06-2026 13:56:09"
"C:\Users\pavan\Documents\Python\Marketbot\data\nifty50.csv","630","04-06-2026 13:16:44"
"C:\Users\pavan\Documents\Python\Marketbot\data\watchlist.xlsx","6188","12-06-2026 10:26:30"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\__init__.py","0","16-06-2026 23:23:46"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\backfill_history.py","3354","15-06-2026 21:27:32"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\backfill_indices.py","2431","17-06-2026 00:46:46"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\fii_dii.py","1296","05-06-2026 18:49:13"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\indices.py","2194","17-06-2026 00:46:48"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\options_chain.py","439","05-06-2026 19:05:48"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\stocks.py","3122","15-06-2026 21:15:13"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\upstox_market_data.py","0","17-06-2026 16:42:23"
"C:\Users\pavan\Documents\Python\Marketbot\data_collectors\upstox_option_chain.py","0","17-06-2026 16:42:09"
"C:\Users\pavan\Documents\Python\Marketbot\database\schema.sql","4080","16-06-2026 21:52:29"
"C:\Users\pavan\Documents\Python\Marketbot\debug_upstox_profile.py","370","18-06-2026 22:09:32"
"C:\Users\pavan\Documents\Python\Marketbot\knowledge\__pycache__\market_lessons.cpython-312.pyc","1447","05-06-2026 21:44:22"
"C:\Users\pavan\Documents\Python\Marketbot\knowledge\market_lessons.py","1438","05-06-2026 21:49:46"
"C:\Users\pavan\Documents\Python\Marketbot\market_intelligence.db","7000064","17-06-2026 15:12:23"
"C:\Users\pavan\Documents\Python\Marketbot\market_intelligence_backup.db","2727936","15-06-2026 22:24:19"
"C:\Users\pavan\Documents\Python\Marketbot\marketbot_tree.txt","12750","18-06-2026 22:30:20"
"C:\Users\pavan\Documents\Python\Marketbot\options\iv_analyzer.py","0","17-06-2026 14:58:38"
"C:\Users\pavan\Documents\Python\Marketbot\options\max_pain.py","0","17-06-2026 14:58:54"
"C:\Users\pavan\Documents\Python\Marketbot\options\oi_analyzer.py","0","17-06-2026 15:24:43"
"C:\Users\pavan\Documents\Python\Marketbot\options\option_chain_loader.py","0","17-06-2026 14:58:30"
"C:\Users\pavan\Documents\Python\Marketbot\options\option_strategy_engine.py","0","17-06-2026 14:59:01"
"C:\Users\pavan\Documents\Python\Marketbot\options\pcr_analyzer.py","0","17-06-2026 14:58:46"
"C:\Users\pavan\Documents\Python\Marketbot\project_files.csv","0","18-06-2026 22:30:29"
"C:\Users\pavan\Documents\Python\Marketbot\reports\__init__.py","0","16-06-2026 23:23:13"
"C:\Users\pavan\Documents\Python\Marketbot\reports\__pycache__\__init__.cpython-312.pyc","158","17-06-2026 15:12:22"
"C:\Users\pavan\Documents\Python\Marketbot\reports\__pycache__\daily_recommendation.cpython-312.pyc","2229","17-06-2026 15:12:22"
"C:\Users\pavan\Documents\Python\Marketbot\reports\__pycache__\master_alpha_report.cpython-312.pyc","2225","17-06-2026 15:22:50"
"C:\Users\pavan\Documents\Python\Marketbot\reports\daily_market_report.py","2004","15-06-2026 21:27:35"
"C:\Users\pavan\Documents\Python\Marketbot\reports\daily_pdf_report.py","0","17-06-2026 14:57:47"
"C:\Users\pavan\Documents\Python\Marketbot\reports\daily_recommendation.py","1352","17-06-2026 12:32:20"
"C:\Users\pavan\Documents\Python\Marketbot\reports\history\2026-06-06.txt","1782","06-06-2026 13:00:01"
"C:\Users\pavan\Documents\Python\Marketbot\reports\history\2026-06-10.txt","1790","10-06-2026 17:47:46"
"C:\Users\pavan\Documents\Python\Marketbot\reports\history\2026-06-11.txt","1767","11-06-2026 23:13:56"
"C:\Users\pavan\Documents\Python\Marketbot\reports\history\2026-06-15.txt","1729","15-06-2026 22:30:34"
"C:\Users\pavan\Documents\Python\Marketbot\reports\master_alpha_report.py","1353","17-06-2026 15:23:31"
"C:\Users\pavan\Documents\Python\Marketbot\reports\master_morning_report.py","5264","10-06-2026 18:48:30"
"C:\Users\pavan\Documents\Python\Marketbot\reports\options_report.py","0","17-06-2026 15:25:08"
"C:\Users\pavan\Documents\Python\Marketbot\research\__init__.py","0","16-06-2026 23:23:26"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\__init__.cpython-312.pyc","159","17-06-2026 17:55:26"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\check_token_info.cpython-312.pyc","776","18-06-2026 18:29:11"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\debug_upstox_apis.cpython-312.pyc","168","18-06-2026 09:42:36"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\generate_auth_url.cpython-312.pyc","658","18-06-2026 18:44:57"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\get_access_token.cpython-312.pyc","1202","18-06-2026 18:49:40"
"C:\Users\pavan\Documents\Python\Marketbot\research\__pycache__\test_upstox_connection.cpython-312.pyc","1124","18-06-2026 22:25:35"
"C:\Users\pavan\Documents\Python\Marketbot\research\alpha_signal_backtest.py","1602","16-06-2026 22:44:23"
"C:\Users\pavan\Documents\Python\Marketbot\research\alpha_signal_v2_backtest.py","1467","16-06-2026 23:31:34"
"C:\Users\pavan\Documents\Python\Marketbot\research\backfill_factor_history.py","3111","16-06-2026 21:23:04"
"C:\Users\pavan\Documents\Python\Marketbot\research\backfill_prediction_history.py","2979","16-06-2026 19:16:29"
"C:\Users\pavan\Documents\Python\Marketbot\research\check_token.py","292","18-06-2026 18:15:01"
"C:\Users\pavan\Documents\Python\Marketbot\research\check_token_info.py","326","18-06-2026 18:21:00"
"C:\Users\pavan\Documents\Python\Marketbot\research\create_factor_library.py","465","16-06-2026 21:53:32"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_api_key.py","58","17-06-2026 17:55:55"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_config.py","252","17-06-2026 17:46:38"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_counts.py","505","16-06-2026 19:16:31"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_factor_count.py","204","16-06-2026 21:22:43"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_factor_history_schema.py","353","17-06-2026 12:32:12"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_factor_library_schema.py","355","17-06-2026 12:32:15"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_indices_breakdown.py","391","17-06-2026 00:30:41"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_indices_sample.py","334","17-06-2026 00:27:08"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_indices_schema.py","351","17-06-2026 00:27:09"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_indices_schema.txt","0","17-06-2026 00:22:32"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_join.py","653","16-06-2026 19:16:26"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_missing_scores.py","574","16-06-2026 19:16:34"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_nifty_count.py","364","17-06-2026 00:28:51"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_option_chain_signature.py","250","18-06-2026 10:33:18"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_options_api.py","60","18-06-2026 10:30:29"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_options_signature_details.py","309","18-06-2026 10:36:50"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_prediction_history.py","455","16-06-2026 19:16:30"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_project_structure.py","358","18-06-2026 09:54:46"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_sector_mapping.py","357","16-06-2026 19:16:32"
"C:\Users\pavan\Documents\Python\Marketbot\research\debug_upstox_apis.py","49","18-06-2026 09:53:42"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_correlation.py","1401","16-06-2026 21:47:19"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_discovery.py","1338","16-06-2026 22:06:39"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_history row count.py","204","16-06-2026 21:07:53"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_library.sql","264","16-06-2026 21:52:32"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_rankings.py","204","16-06-2026 21:36:24"
"C:\Users\pavan\Documents\Python\Marketbot\research\factor_research.py","1635","16-06-2026 21:59:54"
"C:\Users\pavan\Documents\Python\Marketbot\research\forward_returns.py","2751","15-06-2026 21:27:26"
"C:\Users\pavan\Documents\Python\Marketbot\research\generate_auth_url.py","417","18-06-2026 09:45:10"
"C:\Users\pavan\Documents\Python\Marketbot\research\get_access_token.py","768","18-06-2026 22:07:42"
"C:\Users\pavan\Documents\Python\Marketbot\research\master_alpha_report.py","1242","16-06-2026 23:26:56"
"C:\Users\pavan\Documents\Python\Marketbot\research\outcome_tracker.py","2280","15-06-2026 22:21:07"
"C:\Users\pavan\Documents\Python\Marketbot\research\performance_report.py","4430","16-06-2026 19:15:35"
"C:\Users\pavan\Documents\Python\Marketbot\research\prediction_history.py","2008","15-06-2026 22:35:32"
"C:\Users\pavan\Documents\Python\Marketbot\research\regime_alpha_research.py","2072","17-06-2026 00:52:27"
"C:\Users\pavan\Documents\Python\Marketbot\research\research_summary.py","2895","15-06-2026 22:56:40"
"C:\Users\pavan\Documents\Python\Marketbot\research\signal_lab.prompt.py","3510","16-06-2026 23:29:34"
"C:\Users\pavan\Documents\Python\Marketbot\research\test.py","60","18-06-2026 10:43:04"
"C:\Users\pavan\Documents\Python\Marketbot\research\test_nifty_contracts.py","791","18-06-2026 10:41:40"
"C:\Users\pavan\Documents\Python\Marketbot\research\test_option_chain.py","414","18-06-2026 10:30:58"
"C:\Users\pavan\Documents\Python\Marketbot\research\test_upstox_connection.py","570","18-06-2026 22:28:10"
"C:\Users\pavan\Documents\Python\Marketbot\research\volume_expansion_research.py","670","16-06-2026 22:08:34"
"C:\Users\pavan\Documents\Python\Marketbot\research\volume_position_combo.py","870","16-06-2026 22:18:42"
"C:\Users\pavan\Documents\Python\Marketbot\setup\__init__.py","0","17-06-2026 15:07:08"
"C:\Users\pavan\Documents\Python\Marketbot\setup\create_tables.py","1210","17-06-2026 16:41:51"
"C:\Users\pavan\Documents\Python\Marketbot\sql_check.py","225","06-06-2026 13:16:16"
"C:\Users\pavan\Documents\Python\Marketbot\test.py","110","15-06-2026 23:43:42"
